personId,time,mode,age,sex,economic_status,carAvail,restricted_mobility,homeX,homeY,accessibility
berlin_b9e13408,28800.0,teleportedWalk,14,m,very_high,never,false,796964.7876721383,5831836.6937208045,-17.41,
berlin_f572dcc0,28800.0,teleportedWalk,55,f,very_high,always,false,794345.1580936225,5828923.598240155,-6.753333333333334,
berlin_a48581d3,28800.0,teleportedWalk,25,f,very_low,always,false,794115.9695389741,5828410.492467895,-7.295999999999999,
berlin_78c3a359,28800.0,teleportedWalk,53,m,low,always,false,796584.370466896,5832027.841894919,-17.676666666666666,
berlin_63088e45,28800.0,teleportedWalk,43,f,very_low,always,false,794635.6123901845,5831781.877077821,-16.53,
berlin_788986a1,28800.0,teleportedWalk,58,m,low,always,false,795627.3095218835,5831086.159311722,-12.073333333333334,
berlin_4e938a65,28800.0,teleportedWalk,27,m,very_high,always,false,798538.6195072327,5829210.147350745,-13.749,
berlin_84642862,28800.0,teleportedWalk,56,f,low,always,false,797007.1592266029,5833049.585865186,-23.4,
berlin_263b5020,28800.0,teleportedWalk,23,f,low,always,false,796323.1974674074,5831419.484045113,-12.837,
berlin_0919469e,28800.0,teleportedWalk,18,m,very_high,always,false,797231.532480635,5831288.16848375,-13.977,
berlin_ed4e4282,28800.0,teleportedWalk,52,m,medium,always,false,798006.236395106,5830888.567442534,-16.55666666666667,
berlin_c9296a8e,28800.0,teleportedWalk,41,f,high,always,false,796266.4070207498,5829612.072048353,-5.5,
berlin_9ccfd2bd,28800.0,teleportedWalk,16,m,medium,never,false,799978.4609716062,5826579.7007419225,-22.752,
berlin_5f276389,28800.0,teleportedWalk,88,m,high,always,true,794990.9403302004,5828002.508798686,-7.775,
berlin_1913ca91,28800.0,teleportedWalk,5,m,high,never,false,797536.9489754728,5830261.760958357,-12.59,
