personId,time,mode,age,sex,economic_status,carAvail,restricted_mobility,homeX,homeY,accessibility
berlin_0d64f75b,28800,teleportedWalk,7,m,low,never,FALSE,795510.1995132153,5831198.288666863,-12.67333333
berlin_0d6dfae4,28800,teleportedWalk,37,f,medium,always,FALSE,798083.7051800024,5829646.263,-13.53666667
berlin_0d846302,28800,teleportedWalk,1,m,medium,never,FALSE,799516.4163464647,5826958.510115519,-22.26
berlin_0d8951ab,28800,teleportedWalk,73,m,medium,always,FALSE,793842.2863513972,5827616.092462257,-11.06666667
berlin_0d8ad0f3,28800,teleportedWalk,84,m,low,always,TRUE,798886.7180666908,5827658.470353296,-17.86
berlin_0d9734ca,28800,teleportedWalk,68,m,low,always,FALSE,794300.6684454974,5828080.731973369,-7.79
berlin_0dd0ebe5,28800,teleportedWalk,14,m,low,never,FALSE,796796.9841380431,5832545.182308015,-20.57
berlin_0ddc78fc,28800,teleportedWalk,37,f,low,always,FALSE,796986.4679722541,5832009.853549505,-18.28333333
berlin_0dde1bec,28800,teleportedWalk,22,f,very_low,always,FALSE,797758.6771033681,5832205.639724884,-21.03
berlin_0df074fd,28800,teleportedWalk,48,f,very_low,always,FALSE,795187.3788343931,5828800.2633318445,-2.333333333
berlin_0e023502,28800,teleportedWalk,9,m,low,never,FALSE,798419.6486,5828362.102755083,-14.63
berlin_0e0529c9,28800,teleportedWalk,78,m,high,always,FALSE,799054.0119560917,5827888.705127888,-18.35333333
berlin_0e1ade38,28800,teleportedWalk,36,f,high,always,FALSE,798167.1154334912,5830162.165112782,-15.04
berlin_0e1be6f5,28800,teleportedWalk,15,m,high,never,FALSE,796963.8483306214,5832956.250162165,-22.87
berlin_0e463e7c,28800,teleportedWalk,62,f,medium,always,FALSE,794594.4615,5830915.750216331,-12.42666667
berlin_0e74f704,28800,teleportedWalk,39,m,medium,always,FALSE,796577.0809530912,5830200.625431742,-8.933333333
berlin_0e79e31c,28800,teleportedWalk,34,f,medium,always,FALSE,795840.1681501102,5830349.846,-8.316666667
berlin_0e842ccb,28800,teleportedWalk,24,f,medium,always,FALSE,794212.9998703247,5832231.273611506,-19.48666667
berlin_0e84a8a8,28800,teleportedWalk,43,f,very_low,always,FALSE,794690.6506,5831555.316891252,-15.32333333
berlin_0e939433,28800,teleportedWalk,22,f,medium,always,FALSE,795294.8872924268,5831381.526819687,-13.72333333
berlin_0e95ed6b,28800,teleportedWalk,20,m,medium,always,FALSE,796154.7203610736,5826085.578023236,-14.18333333
berlin_0eae4cbd,28800,teleportedWalk,97,m,high,always,TRUE,793765.9856,5828013.893027815,-10.47
berlin_0ebe64ed,28800,teleportedWalk,10,m,low,never,FALSE,794079.4028989113,5828711.720499524,-8.09
berlin_0ee73fc4,28800,teleportedWalk,31,f,medium,always,FALSE,798998.4680481509,5828729.410219558,-17.49
berlin_0ef2e39e,28800,teleportedWalk,38,m,low,always,FALSE,794639.8786944291,5829299.848099101,-5.873333333
berlin_0ef3776b,28800,teleportedWalk,18,m,high,always,FALSE,799137.8553,5828822.527131948,-18.21666667
berlin_0ef53baf,28800,teleportedWalk,46,f,medium,always,FALSE,795756.7859970155,5828075.546386038,-3.633333333
berlin_0f089f60,28800,teleportedWalk,7,m,very_high,never,FALSE,797677.6790651903,5828986.909835063,-10.68666667
berlin_0f296b48,28800,teleportedWalk,81,m,medium,always,FALSE,794088.3842787754,5832486.531100207,-20.96
berlin_0f69d722,28800,teleportedWalk,32,m,medium,always,FALSE,798718.9068918049,5827004.026256466,-18.46333333
berlin_0f733a6b,28800,teleportedWalk,56,f,medium,always,FALSE,797103.5299870064,5828352.661314812,-7.93
berlin_0f7bcc23,28800,teleportedWalk,30,f,very_low,always,FALSE,796623.8500169294,5831607.355243205,-15.65333333
berlin_0f872123,28800,teleportedWalk,25,f,high,always,FALSE,796381.3213501581,5831564.534687378,-15.07
berlin_0f8ffc60,28800,teleportedWalk,63,m,very_high,always,FALSE,797179.8514467289,5828089.981951687,-8.763333333
berlin_0f97895b,28800,teleportedWalk,18,f,medium,always,FALSE,795041.7380407989,5832068.0625856975,-17.45666667
berlin_0fa8c76c,28800,teleportedWalk,40,f,high,always,FALSE,797680.7033587401,5829315.022308458,-11.01666667
berlin_0fc6c11d,28800,teleportedWalk,46,f,high,always,FALSE,796032.9925767989,5831286.049548583,-13.27666667
